Common Name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for,GIC Decision
Pacific Sardine,,Not at Risk,01/05/02,Sardinops sagax,Pacific Sardine,,Special Concern,,,Pacific Ocean,Fishes (marine),,
Pacific Water Shrew,,Endangered,29/04/16,Sorex bendirii,Pacific Water Shrew,,Endangered,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,Uplist
Pacific White-sided Dolphin,,Not at Risk,01/04/90,Lagenorhynchus obliquidens,,,No Status,No schedule,,Pacific Ocean,Mammals (marine),,
Paddlefish,,Extirpated,03/05/19,Polyodon spathula,Paddlefish,,Extirpated,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,
Pale Yellow Dune Moth,,Special Concern,01/11/18,Copablepharon grandis,Pale Yellow Dune Moth,,Special Concern,Schedule 1,23/02/10,"Alberta, Saskatchewan, Manitoba",Arthropods,,Add
Pale-bellied Frost Lichen,,Endangered,27/11/09,Physconia subpallida,Pale-bellied Frost Lichen,,Endangered,Schedule 1,20/06/12,"Ontario, Quebec",Lichens,,Add
Pallid Bat,,Threatened,26/11/10,Antrozous pallidus,Pallid Bat,,Threatened,Schedule 1,05/06/03,British Columbia,Mammals (terrestrial),,
Parker's Pipewort,,Not at Risk,22/04/07,Eriocaulon parkeri,,,No Status,No schedule,,"Quebec, New Brunswick",Vascular Plants,,
Passenger Pigeon,,Extinct,01/05/00,Ectopistes migratorius,,,No Status,No schedule,,"Prince Edward Island, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Birds,,
Paxton Lake Benthic Threespine Stickleback,,Endangered,25/04/10,Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,,Endangered,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
Paxton Lake Limnetic Threespine Stickleback,,Endangered,25/04/10,Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,,Endangered,Schedule 1,05/06/03,British Columbia,Fishes (freshwater),,
Peacock Vinyl Lichen,,Special Concern,06/05/11,Leptogium polycarpum,Peacock Vinyl Lichen,,Special Concern,Schedule 1,03/02/17,British Columbia,Lichens,,Add
Peary Caribou,,Threatened,26/11/15,Rangifer tarandus  pearyi,Peary Caribou,,Endangered,Schedule 1,04/02/11,"Northwest Territories, Nunavut",Mammals (terrestrial),Status change,Pending
Peary Caribou,Banks Island population,Non-active,01/05/04,Rangifer tarandus  pearyi,Peary Caribou,Banks Island population,Endangered,,,Northwest Territories,Mammals (terrestrial),,
Peary Caribou,High Arctic population,Non-active,01/05/04,Rangifer tarandus  pearyi,Peary Caribou,High Arctic population,Endangered,,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Peary Caribou,Low Arctic population,Non-active,01/05/04,Rangifer tarandus  pearyi,Peary Caribou,Low Arctic population,Threatened,,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Peary Caribou,original designation,Non-active,01/04/91,Rangifer tarandus  pearyi,,,No Status,No schedule,,"Northwest Territories, Nunavut",Mammals (terrestrial),,
Peregrine Falcon anatum subspecies,,Non-active,22/04/07,Falco peregrinus  anatum,Peregrine Falcon anatum subspecies,,No Status,No schedule,05/06/03,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,Struck
Peregrine Falcon anatum/tundrius,,Not at Risk,01/11/17,Falco peregrinus  anatum/tundrius,Peregrine Falcon anatum/tundrius,,Special Concern,Schedule 1,20/06/12,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Status change,Pending
Peregrine Falcon pealei subspecies,,Special Concern,01/11/17,Falco peregrinus  pealei,Peregrine Falcon pealei subspecies,,Special Concern,Schedule 1,05/06/03,British Columbia,Birds,,
Peregrine Falcon tundrius subspecies,,Non-active,22/04/07,Falco peregrinus  tundrius,Peregrine Falcon tundrius subspecies,,Special Concern,,,"Yukon, Northwest Territories, Nunavut, Quebec, Newfoundland and Labrador",Birds,,
Phantom Orchid,,Endangered,28/11/14,Cephalanthera austiniae,Phantom Orchid,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Uplist
Pickerel Frog,,Not at Risk,01/04/99,Rana palustris,,,No Status,No schedule,,"Ontario, Quebec, New Brunswick, Nova Scotia",Amphibians,,
Pink Coreopsis,,Endangered,25/11/12,Coreopsis rosea,Pink Coreopsis,,Endangered,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,
Pink Milkwort,,Endangered,27/11/09,Polygala incarnata,Pink Milkwort,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Pink Sand-verbena,,Endangered,01/05/04,Abronia umbellata,Pink Sand-verbena,,Endangered,Schedule 1,14/07/05,British Columbia,Vascular Plants,,Add
Pink-footed Shearwater,,Endangered,27/11/16,Ardenna creatopus,Pink-footed Shearwater,,Endangered,Schedule 1,14/07/05,"British Columbia, Pacific Ocean",Birds,,Uplist
Piping Plover,,Non-active,01/05/01,Charadrius melodus,Piping Plover,,No Status,No schedule,,"Prince Edward Island, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Piping Plover circumcinctus subspecies,,Endangered,01/11/13,Charadrius melodus  circumcinctus,Piping Plover circumcinctus subspecies,,Endangered,Schedule 1,05/06/03,"Alberta, Saskatchewan, Manitoba, Ontario",Birds,,
Piping Plover melodus subspecies,,Endangered,01/11/13,Charadrius melodus  melodus,Piping Plover melodus subspecies,,Endangered,Schedule 1,05/06/03,"Prince Edward Island, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Pitcher's Thistle,,Special Concern,26/11/10,Cirsium pitcheri,Pitcher's Thistle,,Special Concern,Schedule 1,05/06/03,Ontario,Vascular Plants,,Downlist
Pixie Poacher,,Non-active,01/11/01,Occella impi,Pixie Poacher,,No Status,No schedule,,British Columbia,Fishes (marine),,
Plains Bison,,Threatened,01/11/13,Bison bison  bison,Plains Bison,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan",Mammals (terrestrial),Addition,Pending
Plains Hog-nosed Snake,,Special Concern,29/11/19,Heterodon nasicus,Plains Hog-nosed Snake,,No Status,No schedule,,"Alberta, Saskatchewan, Manitoba",Reptiles,Addition,Pending
Plains Minnow,,Threatened,04/05/12,Hybognathus placitus,Plains Minnow,,Threatened,Schedule 1,08/08/19,Saskatchewan,Fishes (freshwater),,Add
Plains Pocket Gopher,,Not at Risk,01/04/98,Geomys bursarius,,,No Status,No schedule,,Manitoba,Mammals (terrestrial),,
Plains Spadefoot,,Not at Risk,01/05/03,Spea bombifrons,,,No Status,No schedule,,"Alberta, Saskatchewan, Manitoba",Amphibians,,
Plymouth Gentian,,Endangered,25/11/12,Sabatia kennedyana,Plymouth Gentian,,Endangered,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Uplist
Polar Bear,,Special Concern,01/11/18,Ursus maritimus,Polar Bear,,Special Concern,Schedule 1,27/10/11,"Yukon, Northwest Territories, Nunavut, Arctic Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (terrestrial),,Add
Poor Pocket Moss,,Endangered,06/05/11,Fissidens pauperculus,Poor Pocket Moss,,Endangered,Schedule 1,05/06/03,British Columbia,Mosses,,
Porbeagle,,Endangered,02/05/14,Lamna nasus,Porbeagle,,No Status,No schedule,,Atlantic Ocean,Fishes (marine),Addition,Pending
Porsild's Bryum,,Threatened,01/11/17,Haplodontium macrocarpum,Porsild's Bryum,,Threatened,Schedule 1,04/02/11,"British Columbia, Nunavut, Alberta, Newfoundland and Labrador",Mosses,,Add
Porter's Twisted Moss,,Not at Risk,29/04/16,Tortula porteri,,,No Status,No schedule,,Ontario,Mosses,,
Poweshiek Skipperling,,Endangered,28/11/14,Oarisma poweshiek,Poweshiek Skipperling,,Endangered,Schedule 1,14/07/05,Manitoba,Arthropods,,Uplist
Prairie Falcon,,Not at Risk,01/04/96,Falco mexicanus,,,No Status,No schedule,,"British Columbia, Alberta, Saskatchewan",Birds,,
Prairie Long-tailed Weasel,,Not at Risk,01/04/93,Mustela frenata  longicauda,,,No Status,No schedule,,"Alberta, Saskatchewan, Manitoba",Mammals (terrestrial),,
Prairie Lupine,,Endangered,26/04/09,Lupinus lepidus,Prairie Lupine,,Endangered,Schedule 1,05/06/03,British Columbia,Vascular Plants,,
Prairie Rattlesnake,,Special Concern,01/05/15,Crotalus viridis,Prairie Rattlesnake,,Special Concern,Schedule 1,25/02/19,"Alberta, Saskatchewan",Reptiles,,Add
Prairie Skink,,Special Concern,01/11/17,Plestiodon septentrionalis,Prairie Skink,,Special Concern,Schedule 1,14/07/05,Manitoba,Reptiles,,Downlist
Prairie Warbler,,Not at Risk,01/04/99,Setophaga discolor,,,No Status,No schedule,,Ontario,Birds,,
Prothonotary Warbler,,Endangered,27/11/16,Protonotaria citrea,Prothonotary Warbler,,Endangered,Schedule 1,05/06/03,Ontario,Birds,,
Prototype Quillwort,,Special Concern,05/05/05,Isoetes prototypus,Prototype Quillwort,,Special Concern,Schedule 1,15/08/06,"New Brunswick, Nova Scotia",Vascular Plants,,Add
Proud Globelet,,Endangered,01/05/15,Patera pennsylvanica,Proud Globelet,,Endangered,Schedule 1,25/02/19,Ontario,Molluscs,,Add
Provancher's Fleabane,,Special Concern,01/04/92,Erigeron philadelphicus  var. provancheri,Provancher's Fleabane,,Special Concern,,,Quebec,Vascular Plants,,
Pugnose Minnow,,Threatened,04/05/12,Opsopoeodus emiliae,Pugnose Minnow,,Threatened,Schedule 1,05/06/03,Ontario,Fishes (freshwater),,Uplist
Pugnose Shiner,,Threatened,03/05/13,Notropis anogenus,Pugnose Shiner,,Threatened,Schedule 1,12/01/05,Ontario,Fishes (freshwater),,Downlist
Purple Sanicle,,Threatened,01/05/01,Sanicula bipinnatifida,Purple Sanicle,,Threatened,Schedule 1,05/06/03,British Columbia,Vascular Plants,,Add
Purple Spikerush,,Non-active,25/04/08,Eleocharis atropurpurea,Purple Spikerush,,No Status,No schedule,,British Columbia,Vascular Plants,,
Purple Twayblade,,Threatened,26/11/10,Liparis liliifolia,Purple Twayblade,,Threatened,Schedule 1,05/06/03,"Ontario, Quebec",Vascular Plants,,Downlist
Purple Wartyback,,Threatened,05/05/21,Cyclonaias tuberculata,Purple Wartyback,,No Status,No schedule,,Ontario,Molluscs,Addition,Pending
Puvirnituq Mountain Draba,,Special Concern,29/11/19,Draba puvirnituqii,Puvirnituq Mountain Draba,,No Status,No schedule,,Quebec,Vascular Plants,Addition,Pending
Pygmy Pocket Moss,,Not at Risk,29/04/16,Fissidens exilis,Pygmy Pocket Moss,,No Status,No schedule,,"British Columbia, Ontario, Quebec, Nova Scotia",Mosses,,Delist
Pygmy Short-horned Lizard,,Extirpated,01/11/18,Phrynosoma douglasii,Pygmy Short-horned Lizard,,Extirpated,Schedule 1,05/06/03,British Columbia,Reptiles,,
Pygmy Slug,,Special Concern,29/04/16,Kootenaia burkei,Pygmy Slug,,Special Concern,Schedule 1,25/02/19,British Columbia,Molluscs,,Add
Pygmy Snaketail,,Special Concern,01/11/18,Ophiogomphus howei,Pygmy Snaketail,,Special Concern,Schedule 1,04/02/11,"Ontario, New Brunswick",Arthropods,,Add
Pygmy Sperm Whale,,Not at Risk,01/04/94,Kogia breviceps,,,No Status,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Pygmy Whitefish,Great Lakes - Upper St. Lawrence populations,Threatened,27/11/16,Prosopium coulterii,Pygmy Whitefish,Great Lakes - Upper St. Lawrence populations,No Status,No schedule,,Ontario,Fishes (freshwater),Addition,Pending
Pygmy Whitefish,Pacific populations,Not at Risk,27/11/16,Prosopium coulterii,,,No Status,No schedule,,"British Columbia, Yukon",Fishes (freshwater),,
Pygmy Whitefish,Saskatchewan - Nelson Rivers populations,Data Deficient,27/11/16,Prosopium coulterii,Pygmy Whitefish,Saskatchewan - Nelson Rivers populations,No Status,No schedule,,Ontario,Fishes (freshwater),,
Pygmy Whitefish,Southwestern Yukon Beringian populations,Data Deficient,27/11/16,Prosopium coulterii,Pygmy Whitefish,Southwestern Yukon Beringian populations,No Status,No schedule,,"British Columbia, Yukon",Fishes (freshwater),,
Pygmy Whitefish,Waterton Lake population,Special Concern,27/11/16,Prosopium coulterii,Pygmy Whitefish,Waterton Lake population,No Status,No schedule,,Alberta,Fishes (freshwater),Addition,Pending
Pygmy Whitefish,Western Arctic populations,Not at Risk,27/11/16,Prosopium coulterii,,,No Status,No schedule,,"British Columbia, Northwest Territories, Alberta",Fishes (freshwater),,
Pygmy Whitefish,Yukon River populations,Data Deficient,27/11/16,Prosopium coulterii,Pygmy Whitefish,Yukon River populations,No Status,No schedule,,Yukon,Fishes (freshwater),,
Quebec Rockcress,,Endangered,01/11/17,Boechera quebecensis,Quebec Rockcress,,Endangered,Schedule 1,23/04/21,Quebec,Vascular Plants,,Add
Queensnake,,Endangered,25/04/10,Regina septemvittata,Queensnake,,Endangered,Schedule 1,05/06/03,Ontario,Reptiles,,Uplist
Quillback Rockfish,,Threatened,27/11/09,Sebastes maliger,Quillback Rockfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Rabbit-brush Goldenweed,,Data Deficient,01/04/97,Ericameria bloomeri,Rabbit-brush Goldenweed,,No Status,No schedule,,British Columbia,Vascular Plants,,
Rainbow,,Special Concern,26/11/15,Villosa iris,Rainbow,,Special Concern,Schedule 1,08/03/13,Ontario,Molluscs,,Downlist
Rainbow Smelt,Lake Utopia large-bodied population,Endangered,01/11/18,Osmerus mordax,Rainbow Smelt,Lake Utopia large-bodied population,Endangered,Schedule 1,08/08/19,New Brunswick,Fishes (freshwater),,Uplist
Rainbow Smelt,Lake Utopia small-bodied population,Endangered,01/11/18,Osmerus mordax,Rainbow Smelt,Lake Utopia small-bodied population,Endangered,Schedule 1,05/06/03,New Brunswick,Fishes (freshwater),,Uplist
Rainbow Trout,Athabasca River populations,Endangered,02/05/14,Oncorhynchus mykiss,Rainbow Trout,Athabasca River populations,Endangered,Schedule 1,08/08/19,Alberta,Fishes (freshwater),,Add
Rapids Clubtail,,Endangered,01/11/18,Phanogomphus quadricolor,Rapids Clubtail,,Endangered,Schedule 1,23/02/10,Ontario,Arthropods,,Add
Rayed Bean,,Endangered,25/04/10,Villosa fabalis,Rayed Bean,,Endangered,Schedule 1,05/06/03,Ontario,Molluscs,,
Rayless Goldfields,,Endangered,25/04/08,Lasthenia glaberrima,Rayless Goldfields,,Endangered,Schedule 1,23/02/10,British Columbia,Vascular Plants,,Add
Red Crossbill percna subspecies,,Threatened,29/04/16,Loxia curvirostra  percna,Red Crossbill percna subspecies,,Threatened,Schedule 1,14/07/05,"Quebec, Newfoundland and Labrador",Birds,,Downlist
Red Knot islandica subspecies,,Not at Risk,04/11/20,Calidris canutus  islandica,Red Knot islandica subspecies,,Special Concern,Schedule 1,20/06/12,"Northwest Territories, Nunavut",Birds,Status change,Pending
Red Knot roselaari subspecies,,Threatened,04/11/20,Calidris canutus  roselaari,Red Knot roselaari subspecies,,No Status,No schedule,23/02/10,"British Columbia, Yukon",Birds,,
Red Knot roselaari type,,Non-active,04/11/20,Calidris canutus  roselaari,Red Knot roselaari type,,Threatened,Schedule 1,23/02/10,"British Columbia, Yukon, Northwest Territories",Birds,,Add
Red Knot rufa subspecies,Northeastern South America wintering population,Special Concern,04/11/20,Calidris canutus  rufa,Red Knot rufa subspecies,Northeastern South America wintering population,No Status,No schedule,23/02/10,"Prince Edward Island, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Addition,Pending
Red Knot rufa subspecies,Southeastern USA / Gulf of Mexico / Caribbean wintering population,Endangered,04/11/20,Calidris canutus  rufa,Red Knot rufa subspecies,Southeastern USA / Gulf of Mexico / Caribbean wintering population,No Status,No schedule,23/02/10,"Prince Edward Island, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,Addition,Pending
Red Knot rufa subspecies,Tierra del Fuego / Patagonia wintering population,Endangered,04/11/20,Calidris canutus  rufa,Red Knot rufa subspecies,,Endangered,Schedule 1,20/06/12,"Prince Edward Island, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,Add
Red Mulberry,,Endangered,28/11/14,Morus rubra,Red Mulberry,,Endangered,Schedule 1,05/06/03,Ontario,Vascular Plants,,
Red Oak Stubble Lichen,,Data Deficient,01/11/02,Phaeocalicium minutissimum,Red Oak Stubble Lichen,,No Status,No schedule,,"Quebec, New Brunswick",Lichens,,
Red-headed Woodpecker,,Endangered,27/04/18,Melanerpes erythrocephalus,Red-headed Woodpecker,,Endangered,Schedule 1,05/03/09,"Saskatchewan, Manitoba, Ontario, Quebec",Birds,,Uplist
Northern Red-legged Frog,,Special Concern,01/05/15,Rana aurora,Red-legged Frog,,Special Concern,Schedule 1,12/01/05,British Columbia,Amphibians,,Add
Red-necked Grebe,,Not at Risk,01/04/82,Podiceps grisegena,,,No Status,No schedule,,"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, Nova Scotia",Birds,,
Red-necked Phalarope,,Special Concern,28/11/14,Phalaropus lobatus,Red-necked Phalarope,,Special Concern,Schedule 1,22/05/19,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Arctic Ocean, Atlantic Ocean, Pacific Ocean, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,Add
Red-shouldered Hawk,,Not at Risk,29/04/06,Buteo lineatus,Red-shouldered Hawk,,Special Concern,,,"Ontario, Quebec, New Brunswick",Birds,,
Red-tailed Hawk,,Not at Risk,01/04/95,Buteo jamaicensis,,,No Status,No schedule,,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Birds,,
Red-tailed Leafhopper,Great Lakes Plains population,Special Concern,01/11/17,Aflexia rubranura,Red-tailed Leafhopper,Great Lakes Plains population,Special Concern,Schedule 1,23/04/21,Ontario,Arthropods,,Add
Red-tailed Leafhopper,Prairie population,Special Concern,27/04/18,Aflexia rubranura,Red-tailed Leafhopper,Prairie population,Special Concern,Schedule 1,23/04/21,Manitoba,Arthropods,,Add
Redbreast Sunfish,,Data Deficient,25/04/08,Lepomis auritus,Redbreast Sunfish,,Special Concern,,,New Brunswick,Fishes (freshwater),,
Redfin Pickerel,,Not at Risk,01/04/98,Esox americanus  americanus,,,No Status,No schedule,,Quebec,Fishes (freshwater),,
Redfin Shiner,,Not at Risk,01/04/88,Lythrurus umbratilis,,,No Status,No schedule,,Ontario,Fishes (freshwater),,
Redroot,,Special Concern,27/11/09,Lachnanthes caroliniana,Redroot,,Special Concern,Schedule 1,05/06/03,Nova Scotia,Vascular Plants,,Downlist
Redside Dace,,Endangered,01/11/17,Clinostomus elongatus,Redside Dace,,Endangered,Schedule 1,13/04/17,Ontario,Fishes (freshwater),,Add
Reversed Haploa Moth,,Endangered,29/11/19,Haploa reversa,Reversed Haploa Moth,,No Status,No schedule,,Ontario,Arthropods,Addition,Pending
Riddell's Goldenrod,,Special Concern,01/11/00,Solidago riddellii,Riddell's Goldenrod,,Special Concern,Schedule 1,05/06/03,"Manitoba, Ontario",Vascular Plants,,Add
Right Whale,,Non-active,01/05/03,Eubalaena glacialis,Right Whale,,Endangered,,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Rigid Apple Moss,,Endangered,27/11/09,Bartramia aprica,Rigid Apple Moss,,Endangered,Schedule 1,05/06/03,British Columbia,Mosses,,
Ringed Seal,,Special Concern,29/11/19,Pusa hispida,Ringed Seal,,No Status,No schedule,,"Yukon, Northwest Territories, Nunavut, Arctic Ocean, Atlantic Ocean, Pacific Ocean, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Mammals (marine),Addition,Pending
